ID;Active (0/1);Name *;Parent category;Description;Meta title;Image URL
14;1;Shtangentcirkuli mehanicheskie;Home;Штангенциркули механические ГОСТ 166-89 ГОСРЕЕСТР № 52630-13;Meta title-Shtangentcirkuli;
15;1;Shtangentcirkuli tcifrovye;Home;Штангенциркули цифровые ГОСТ 166-89 ГОСРЕЕСТР № 52630-13;Meta title-Shtangentcirkuli;
17;1;Mikrometry mehanicheskie;Home;Mikrometry mehanicheskie gladkie GOST 6507-90 GOSREESTR № 52631-13;Meta title-Mikrometry;
18;1;Mikrometry tcifrovye;Home;Mikrometry tcifrovye GOST 6507-90 GOSREESTR № 52631-13;Meta title-Mikrometry;
20;1;Nutromery indikatornye;Home;Nutromery indikatornye GOST 868-82 GOSREESTR № 52611-13;Meta title-Nutromery;
21;1;Nutromery mikrometricheskie;Home;Nutromery mikrometricheskie GOST 10-88;Meta title-Nutromery;
22;1;Indikatory chasovogo tipa;Home;Indikatory chasovogo tipa GOST 577-68 GOSREESTR № 52612-13. Indikatory IRB;Meta title-Indikatory;
23;1;Shtangenglubinomery mehanicheskie;Home;Shtangenglubinomery mehanicheskie GOST 162-90;Meta title-Shtangenglubinomery;
24;1;Shtangenreismasy mehanicheskie;Home;Shtangenreismasy mehanicheskie GOST 164-90;Meta title-Shtangenreismasy;
25;1;Uglomery universalnye;Home;Uglomery universalnye GOST 5378-88;Meta title-Uglomery;
26;1;Ugolniki poverochnye;Home;Ugolniki poverochnye GOST 3749-77;Meta title-Ugolniki;
27;1;Ugolniki s shirokim osnovaniem;Home;Ugolniki s shirokim osnovaniem GOST 3749-77;Meta title-Ugolniki;
28;1;Stoiki Shtativy;Home;Stoiki Shtativy;Meta title-Stoiki-Shtativy;
29;1;Nabory shchupov;Home;Nabory shchupov TU 2-034-0221197-011-91;Meta title-shchupy;
30;1;Shablony rezbovye;Home;Shablony rezbovye TU-2-034-228-87;Meta title-Shablony;
31;1;Shablony radiusnye;Home;Shablony radiusnye;Meta title-Shablony;
32;1;Leeneiki izmeritelnaia;Home;Leeneiki izmeritelnaia po GOST 427-75;Meta title-Ugolniki;
33;1;Ruletki;Home;Ruletki;Meta title-Ruletki;
