ID;Active (0/1);Categories (x,y,z...);On sale (0/1);Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Name *;Price tax excluded or Price tax included
1;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-125 0,05 ;470,00;
2;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-125 0,1 ;437,00;
3;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-150 0,1 ;502,00;
4;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-150 0,05 ;540,00;
5;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-200 0,05 ;1 128,00;
6;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-250 0,05 ;1 307,00;
7;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-300 0,05 ;1 590,00;
8;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-II-250 0,05 ;1 536,00;
9;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-400 0,05 ;1 999,00;
10;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-400 0,1 ;1 959,00;
11;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-500 0,05 ;2 386,00;
12;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-500 0,1 ;2 313,00;
13;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-630 0,05 ;2 950,00;
14;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-630 0,1 ;2 750,00;
15;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-800 0,05 ;6 254,00;
16;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-800 0,1 ;6 187,00;
17;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1000 0,05 ;8 413,00;
18;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1000 0,1;7 863,00;
19;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1600 0,05 ;17 980,00;
20;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1600 0,1 ;17 085,00;
21;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-2000 0,05 ;договорна;
22;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-3000 0,05 ;договорна;
23;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-125 0,01 ;1 320,00;
24;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-150 0,01 ;1 370,00;
25;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-200 0,01 ;3 350,00;
26;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-250 0,01 ;4 190,00;
27;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-300 0,01 ;4 720,00;
28;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-II-250 0,01 ;5 250,00;
29;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-II-300 0,01 ;7 450,00;
30;1;Микрометры механические ;1;1;Микрометр МК 25 0,01 кл.1;630,00;
31;1;Микрометры механические ;1;1;Микрометр МК 50 0,01 кл.1 ;652,00;
32;1;Микрометры механические ;1;1;Микрометр МК 75 0,01 кл.1 ;745,00;
33;1;Микрометры механические ;1;1;Микрометр МК 100 0,01 кл.1 ;872,00;
34;1;Микрометры механические ;1;1;Микрометр МК 125 0,01 кл.1 ;1 624,00;
35;1;Микрометры механические ;1;1;Микрометр МК 150 0,01 кл.1 ;2 296,00;
36;1;Микрометры механические ;1;1;Микрометр МК 175 0,01 кл.1 ;2 410,00;
37;1;Микрометры механические ;1;1;Микрометр МК 200 0,01 кл.1 ;2 625,00;
38;1;Микрометры механические ;1;1;Микрометр МК 225 0,01 кл.1 ;2 890,00;
39;1;Микрометры механические ;1;1;Микрометр МК 250 0,01 кл.1 ;3 150,00;
40;1;Микрометры механические ;1;1;Микрометр МК 275 0,01 кл.1 ;3 262,00;
41;1;Микрометры механические ;1;1;Микрометр МК 300 0,01 кл.1 ;3 573,00;
42;1;Микрометры механические ;1;1;Микрометр МК 400 0,01 кл.1 ;11 980,00;
43;1;Микрометры механические ;1;1;Микрометр МК 500 0,01 кл.1 ;12 520,00;
44;1;Микрометры механические ;1;1;Микрометр МК 600 0,01 кл.1;13 490,00;
45;1;Микрометры цифровые;1;1;Микрометр МКЦ 25 0,001 ;4 577,00;
46;1;Микрометры цифровые;1;1;Микрометр МКЦ 50 0,001 ;5 468,00;
47;1;Микрометры цифровые;1;1;Микрометр МКЦ 75 0,001 ;6 121,00;
48;1;Микрометры цифровые;1;1;Микрометр МКЦ 100 0,001 ;7 083,00;
49;1;Микрометры цифровые;1;1;Микрометр МКЦ 125 0,001 ;8 868,00;
50;1;Микрометры цифровые;1;1;Микрометр МКЦ 150 0,001 ;9 366,00;
51;1;Нутромеры индикаторные;1;1;Нутромер НИ 6-10 0,01 ;3 126,00;
52;1;Нутромеры индикаторные;1;1;Нутромер НИ 10-18 0,01 ;3 366,00;
53;1;Нутромеры индикаторные;1;1;Нутромер НИ 18-50 0,01 ;3 221,00;
54;1;Нутромеры индикаторные;1;1;Нутромер НИ 50-100 0,01 ;3 150,00;
55;1;Нутромеры индикаторные;1;1;Нутромер НИ 100-160 0,01 ;3 460,00;
56;1;Нутромеры индикаторные;1;1;Нутромер НИ 160-250 0,01 ;3 580,00;
57;1;Нутромеры индикаторные;1;1;Нутромер НИ 250-450 0,01 ;3 961,00;
58;1;Нутромеры микрометрические;1;1;Нутромер НМ 50-75 0,01;3 930,00;
59;1;Нутромеры микрометрические;1;1;Нутромер НМ 50-175 0,01;5 839,00;
60;1;Нутромеры микрометрические;1;1;Нутромер НМ 50-600 0,01 ;7 369,00;
61;1;Нутромеры микрометрические;1;1;Нутромер НМ 50-1300 0,01;23 620,00;
62;1;Индикаторы часового типа;1;1;Индикатор ИЧ-02 б/ушк. кл.1;710,00;
63;1;Индикаторы часового типа;1;1;Индикатор ИЧ-02 с ушк. кл.1;710,00;
64;1;Индикаторы часового типа;1;1;Индикатор ИЧ-05 без ушка кл.1 ;746,00;
65;1;Индикаторы часового типа;1;1;Индикатор ИЧ-05 с ушк. кл.1 ;746,00;
66;1;Индикаторы часового типа;1;1;Индикатор ИЧ10 0,01 кл.1 без ушка;498,00;
67;1;Индикаторы часового типа;1;1;Индикатор ИЧ10 0,01 кл.1 с ушком;483,00;
68;1;Индикаторы часового типа;1;1;Индикатор ИЧ-25 0,01 кл.1;2 644,00;
69;1;Индикаторы часового типа;1;1;Индикатор ИЧ-50 0,01 кл.1;2 996,00;
70;1;Индикаторы часового типа;1;1;Индикатор ИРТ 0,01;2 354,00;
71;1;Индикаторы часового типа;1;1;Индикатор ИРБ 0,01;1 699,00;
72;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-160 0,05 ;1 345,00;
73;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-200 0,05 ;1 498,00;
74;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-250 0,05 ;1 551,00;
75;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-300 0,05 ;1 591,00;
76;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-400 0,05 ;2 618,00;
77;1;Штангенрейсмасы механические;1;1;Штангенрейсмас ШР-250 0,05;2 638,00;
78;1;Штангенрейсмасы механические;1;1;Штангенрейсмас ШР-400 0,05;3 341,00;
79;1;Штангенрейсмасы механические;1;1;Штангенрейсмас ШР-630 0,05;5 410,00;
80;1;Штангенрейсмасы механические;1;1;Штангенрейсмас ШР-1000 0,05;17 228,00;
81;1;Угломеры универсальные;1;1;Угломер тип. 2 мод.1005 (УН-127) (0-360°);8 255,00;
82;1;Угольники поверочные;1;1;Угольник УП 100х60 кл. 1 ;546,00;
83;1;Угольники поверочные;1;1;Угольник УП 160х100 кл. 1 ;648,00;
84;1;Угольники поверочные;1;1;Угольник УП 250х160 кл. 1 ;1 290,00;
85;1;Угольники поверочные;1;1;Угольник УП 400х250 кл. 1 ;3 144,00;
86;1;Угольники поверочные;1;1;Угольник УП-630х400 кл. 1 ;7 118,00;
87;1;Угольники поверочные;1;1;Угольник УП 1000х630 кл. 1 ;15 104,00;
88;1;Угольники с широким основанием;1;1;Угольник УШ 100х60 кл. 2;581,00;
89;1;Угольники с широким основанием;1;1;Угольник УШ 100х60 кл. 1 ;610,00;
90;1;Угольники с широким основанием;1;1;Угольник УШ 160х100 кл. 1 ;754,00;
91;1;Угольники с широким основанием;1;1;Угольник УШ 250х160 кл. 1 ;1 422,00;
92;1;Угольники с широким основанием;1;1;Угольник УШ 400х250 кл. 1 ;3 380,00;
93;1;Угольники с широким основанием;1;1;Угольник УШ 630х400 кл. 1 ;6 259,00;
94;1;Угольники с широким основанием;1;1;Угольник УШ 1000х630 кл. 1 ;19 924,00;
95;1;Стойки Штативы;1;1;Стойка МС-29;1 948,00;
96;1;Стойки Штативы;1;1;Стойка 15СТ-М;1 348,00;
97;1;Стойки Штативы;1;1;Штатив магнитный ШМ-IIН;3 429,00;
98;1;Наборы щупов;1;1;Набор щупов № 1 (длина 70 мм) (0,02-0,10, 9 щупов);140,00;
99;1;Наборы щупов;1;1;Набор щупов № 1 (длина 100 мм) (0,02-0,10, 9 щупов);160,00;
100;1;Наборы щупов;1;1;Набор щупов № 2 (длина 70 мм) (0,02-0,50, 17 щупов);140,00;
101;1;Наборы щупов;1;1;Набор щупов № 2 (длина 100 мм) (0,02-0,50, 17 щупов);160,00;
102;1;Наборы щупов;1;1;Набор щупов № 3 (длина 70 мм) (0,55-1,00, 10 щупов);140,00;
103;1;Наборы щупов;1;1;Набор щупов № 4 (длина 70 мм) (0,10-1,00, 10 щупов);140,00;
104;1;Шаблоны резьбовые;1;1;Шаблон резьбовой М-60 (№1);210,00;
105;1;Шаблоны резьбовые;1;1;Шаблон резьбовой Д-55 (№2);210,00;
106;1;Шаблоны радиусные;1;1;Шаблоны радиусные № 1;250,00;
107;1;Шаблоны радиусные;1;1;Шаблоны радиусные № 2;250,00;
108;1;Шаблоны радиусные;1;1;Шаблоны радиусные № 3;250,00;
109;1;Линейки измерительные;1;1;Линейка металлическая двусторонняя 150 мм (с поверкой);350,00;
110;1;Линейки измерительные;1;1;Линейка металлическая двусторонняя 300 мм (с поверкой);385,00;
111;1;Линейки измерительные;1;1;Линейка металлическая двусторонняя 500 мм (с поверкой);522,00;
112;1;Линейки измерительные;1;1;Линейка металлическая двусторонняя 1000 мм (с поверкой);690,00;
113;1;Рулетки;1;1;Рулетка 3м (обрезиненный корпус, ширина ленты 16мм, зацеп);50,00;
114;1;Рулетки;1;1;Рулетка 5м (обрезиненный корпус, ширина ленты 19мм, зацеп);100,00;
115;1;Рулетки;1;1;Рулетка 10м (обрезиненный корпус, зацеп);210,00;
116;1;Рулетки;1;1;Рулетка 20м (пластиковый корпус, кольцо);408,00;
117;1;Рулетки;1;1;Рулетка 50м (пластик);702,00;
