ID;Active (0/1);Categories (x,y,z...);On sale (0/1);Show price (0 = No, 1 = Yes);Name *;Price;Image URLs (x,y,z...)
1;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-125 0,05 ;470;
2;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-125 0,1 ;437;
3;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-150 0,1 ;502;
4;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-150 0,05 ;540;
5;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-200 0,05 ;1128;
6;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-250 0,05 ;1307;
7;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-300 0,05 ;1590;
8;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-II-250 0,05 ;1536;
9;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-400 0,05 ;1999;
10;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-400 0,1 ;1959;
11;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-500 0,05 ;2386;
12;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-500 0,1 ;2313;
13;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-630 0,05 ;2950;
14;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-630 0,1 ;2750;
15;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-800 0,05 ;6254;
16;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-800 0,1 ;6187;
17;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1000 0,05 ;8413;
18;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1000 0,1;7863;
19;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1600 0,05 ;17980;
20;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1600 0,1 ;17085;
21;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-2000 0,05 ;догово;
22;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-3000 0,05 ;догово;
23;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-125 0,01 ;1320;
24;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-150 0,01 ;1370;
25;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-200 0,01 ;3350;
26;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-250 0,01 ;4190;
27;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-300 0,01 ;4720;
28;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-II-250 0,01 ;5250;
29;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-II-300 0,01 ;7450;
30;1;Микрометры механические ;1;1;Микрометр МК 25 0,01 кл.1;630;
31;1;Микрометры механические ;1;1;Микрометр МК 50 0,01 кл.1 ;652;
32;1;Микрометры механические ;1;1;Микрометр МК 75 0,01 кл.1 ;745;
33;1;Микрометры механические ;1;1;Микрометр МК 100 0,01 кл.1 ;872;
34;1;Микрометры механические ;1;1;Микрометр МК 125 0,01 кл.1 ;1624;
35;1;Микрометры механические ;1;1;Микрометр МК 150 0,01 кл.1 ;2296;
36;1;Микрометры механические ;1;1;Микрометр МК 175 0,01 кл.1 ;2410;
37;1;Микрометры механические ;1;1;Микрометр МК 200 0,01 кл.1 ;2625;
38;1;Микрометры механические ;1;1;Микрометр МК 225 0,01 кл.1 ;2890;
39;1;Микрометры механические ;1;1;Микрометр МК 250 0,01 кл.1 ;3150;
40;1;Микрометры механические ;1;1;Микрометр МК 275 0,01 кл.1 ;3262;
41;1;Микрометры механические ;1;1;Микрометр МК 300 0,01 кл.1 ;3573;
42;1;Микрометры механические ;1;1;Микрометр МК 400 0,01 кл.1 ;11980;
43;1;Микрометры механические ;1;1;Микрометр МК 500 0,01 кл.1 ;12520;
44;1;Микрометры механические ;1;1;Микрометр МК 600 0,01 кл.1;13490;
45;1;Микрометры цифровые;1;1;Микрометр МКЦ 25 0,001 ;4577;
46;1;Микрометры цифровые;1;1;Микрометр МКЦ 50 0,001 ;5468;
47;1;Микрометры цифровые;1;1;Микрометр МКЦ 75 0,001 ;6121;
48;1;Микрометры цифровые;1;1;Микрометр МКЦ 100 0,001 ;7083;
49;1;Микрометры цифровые;1;1;Микрометр МКЦ 125 0,001 ;8868;
50;1;Микрометры цифровые;1;1;Микрометр МКЦ 150 0,001 ;9366;
51;1;Нутромеры индикаторные;1;1;Нутромер НИ 6-10 0,01 ;3126;
52;1;Нутромеры индикаторные;1;1;Нутромер НИ 10-18 0,01 ;3366;
53;1;Нутромеры индикаторные;1;1;Нутромер НИ 18-50 0,01 ;3221;
54;1;Нутромеры индикаторные;1;1;Нутромер НИ 50-100 0,01 ;3150;
55;1;Нутромеры индикаторные;1;1;Нутромер НИ 100-160 0,01 ;3460;
56;1;Нутромеры индикаторные;1;1;Нутромер НИ 160-250 0,01 ;3580;
57;1;Нутромеры индикаторные;1;1;Нутромер НИ 250-450 0,01 ;3961;
58;1;Нутромеры микрометрические;1;1;Нутромер НМ 50-75 0,01;3930;
59;1;Нутромеры микрометрические;1;1;Нутромер НМ 50-175 0,01;5839;
60;1;Нутромеры микрометрические;1;1;Нутромер НМ 50-600 0,01 ;7369;
61;1;Нутромеры микрометрические;1;1;Нутромер НМ 50-1300 0,01;23620;
62;1;Индикаторы часового типа;1;1;Индикатор ИЧ-02 б/ушк. кл.1;710;
63;1;Индикаторы часового типа;1;1;Индикатор ИЧ-02 с ушк. кл.1;710;
64;1;Индикаторы часового типа;1;1;Индикатор ИЧ-05 без ушка кл.1 ;746;
65;1;Индикаторы часового типа;1;1;Индикатор ИЧ-05 с ушк. кл.1 ;746;
66;1;Индикаторы часового типа;1;1;Индикатор ИЧ10 0,01 кл.1 без ушка;498;
67;1;Индикаторы часового типа;1;1;Индикатор ИЧ10 0,01 кл.1 с ушком;483;
68;1;Индикаторы часового типа;1;1;Индикатор ИЧ-25 0,01 кл.1;2644;
69;1;Индикаторы часового типа;1;1;Индикатор ИЧ-50 0,01 кл.1;2996;
70;1;Индикаторы часового типа;1;1;Индикатор ИРТ 0,01;2354;
71;1;Индикаторы часового типа;1;1;Индикатор ИРБ 0,01;1699;
72;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-160 0,05 ;1345;
73;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-200 0,05 ;1498;
74;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-250 0,05 ;1551;
75;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-300 0,05 ;1591;
76;1;Штангенглубиномеры механические;1;1;Штангенглубиномер ШГ-400 0,05 ;2618;
77;1;Штангенрейсмасы механические;1;1;Штангенрейсмас ШР-250 0,05;2638;
78;1;Штангенрейсмасы механические;1;1;Штангенрейсмас ШР-400 0,05;3341;
79;1;Штангенрейсмасы механические;1;1;Штангенрейсмас ШР-630 0,05;5410;
80;1;Штангенрейсмасы механические;1;1;Штангенрейсмас ШР-1000 0,05;17228;
81;1;Угломеры универсальные;1;1;Угломер тип. 2 мод.1005 (УН-127) (0-360°);8255;
82;1;Угольники поверочные;1;1;Угольник УП 100х60 кл. 1 ;546;
83;1;Угольники поверочные;1;1;Угольник УП 160х100 кл. 1 ;648;
84;1;Угольники поверочные;1;1;Угольник УП 250х160 кл. 1 ;1290;
85;1;Угольники поверочные;1;1;Угольник УП 400х250 кл. 1 ;3144;
86;1;Угольники поверочные;1;1;Угольник УП-630х400 кл. 1 ;7118;
87;1;Угольники поверочные;1;1;Угольник УП 1000х630 кл. 1 ;15104;
88;1;Угольники с широким основанием;1;1;Угольник УШ 100х60 кл. 2;581;
89;1;Угольники с широким основанием;1;1;Угольник УШ 100х60 кл. 1 ;610;
90;1;Угольники с широким основанием;1;1;Угольник УШ 160х100 кл. 1 ;754;
91;1;Угольники с широким основанием;1;1;Угольник УШ 250х160 кл. 1 ;1422;
92;1;Угольники с широким основанием;1;1;Угольник УШ 400х250 кл. 1 ;3380;
93;1;Угольники с широким основанием;1;1;Угольник УШ 630х400 кл. 1 ;6259;
94;1;Угольники с широким основанием;1;1;Угольник УШ 1000х630 кл. 1 ;19924;
95;1;Стойки Штативы;1;1;Стойка МС-29;1 948;
96;1;Стойки Штативы;1;1;Стойка 15СТ-М;1 348;
97;1;Стойки Штативы;1;1;Штатив магнитный ШМ-IIН;3 429;
98;1;Наборы щупов;1;1;Набор щупов № 1 (длина 70 мм) (0,02-0,10, 9 щупов);140;
99;1;Наборы щупов;1;1;Набор щупов № 1 (длина 100 мм) (0,02-0,10, 9 щупов);160;
100;1;Наборы щупов;1;1;Набор щупов № 2 (длина 70 мм) (0,02-0,50, 17 щупов);140;
101;1;Наборы щупов;1;1;Набор щупов № 2 (длина 100 мм) (0,02-0,50, 17 щупов);160;
102;1;Наборы щупов;1;1;Набор щупов № 3 (длина 70 мм) (0,55-1,00, 10 щупов);140;
103;1;Наборы щупов;1;1;Набор щупов № 4 (длина 70 мм) (0,10-1,00, 10 щупов);140;
104;1;Шаблоны резьбовые;1;1;Шаблон резьбовой М-60 (№1);210;
105;1;Шаблоны резьбовые;1;1;Шаблон резьбовой Д-55 (№2);210;
106;1;Шаблоны радиусные;1;1;Шаблоны радиусные № 1;250;
107;1;Шаблоны радиусные;1;1;Шаблоны радиусные № 2;250;
108;1;Шаблоны радиусные;1;1;Шаблоны радиусные № 3;250;
109;1;Линейки измерительные;1;1;Линейка металлическая двусторонняя 150 мм (с поверкой);350;
110;1;Линейки измерительные;1;1;Линейка металлическая двусторонняя 300 мм (с поверкой);385;
111;1;Линейки измерительные;1;1;Линейка металлическая двусторонняя 500 мм (с поверкой);522;
112;1;Линейки измерительные;1;1;Линейка металлическая двусторонняя 1000 мм (с поверкой);690;
113;1;Рулетки;1;1;Рулетка 3м (обрезиненный корпус, ширина ленты 16мм, зацеп);50;
114;1;Рулетки;1;1;Рулетка 5м (обрезиненный корпус, ширина ленты 19мм, зацеп);100;
115;1;Рулетки;1;1;Рулетка 10м (обрезиненный корпус, зацеп);210;
116;1;Рулетки;1;1;Рулетка 20м (пластиковый корпус, кольцо);408;
117;1;Рулетки;1;1;Рулетка 50м (пластик);702;
